guid,Country,"Country info",Capital,"Capital info","Capital hint",Flag,"Flag similarity",Map,tags			
SdUr}o7uCD,AfghĂˇnistĂˇn,,KĂˇbul,,,"<img src=""ug-flag-afghanistan.png"" />",,"<img src=""ug-map-afghanistan.png"" />","UG::Asia UG::Sovereign_State"			
Kqu<?fnYdj,Anglie,"<div>KonstituÄŤnĂ­ zemÄ› VelkĂ© BritĂˇnie.</div><div></div>",LondĂ˝n,,"<div>NejednĂˇ se o suverĂ©nnĂ­ stĂˇt.</div><div></div>","<img src=""ug-flag-england.svg"" />",,"<img src=""ug-map-england.png"" />",UG::Europe			
NKd8wkwSc},Skotsko,"<div>KonstituÄŤnĂ­ zemÄ› VelkĂ© BritĂˇnie.</div><div></div>",Edinburgh,,,"<img src=""ug-flag-scotland.svg"" />",,"<img src=""ug-map-scotland.png"" />",UG::Europe			
Yhs*Ijz8VC,"SpojenĂ© krĂˇlovstvĂ­","ZnĂˇmĂ© tĂ©Ĺľ jako VelkĂˇ BritĂˇnie.",LondĂ˝n,,"<div>SuverĂ©nnĂ­ stĂˇt.</div>","<img src=""ug-flag-united_kingdom.svg"" />",,"<img src=""ug-map-united_kingdom.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"			
W^TwqfsDD{,Slovensko,,Bratislava,,,"<img src=""ug-flag-slovakia.svg"" />",,"<img src=""ug-map-slovakia.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"			
MsDM}gAqC9,Slovinsko,,LublaĹ,,,"<img src=""ug-flag-slovenia.svg"" />",,"<img src=""ug-map-slovenia.png"" />","UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State"			
La~y*5I[/},Ĺ panÄ›lsko,,Madrid,,,"<img src=""ug-flag-spain.svg"" />",,"<img src=""ug-map-spain.png"" />","UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State"			
Y[dyECz+S{,Ĺ vĂ©dsko,,Stockholm,,,"<img src=""ug-flag-sweden.svg"" />",,"<img src=""ug-map-sweden.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"			
R]B%0r#dUj,Ĺ vĂ˝carsko,,Bern,"<div>Ĺ vĂ˝carsko nemĂˇ ĹľĂˇdnĂ© oficiĂˇlnĂ­ hlavnĂ­ mÄ›sto, Bern je de facto hlavnĂ­ mÄ›sto.</div>",,"<img src=""ug-flag-switzerland.svg"" />",,"<img src=""ug-map-switzerland.png"" />","UG::Europe UG::Sovereign_State"			
P&#sSusPTi,Turecko,,Ankara,,,"<img src=""ug-flag-turkey.svg"" />",,"<img src=""ug-map-turkey.png"" />","UG::Asia UG::Mediterranean UG::Middle_East UG::Sovereign_State"			
NFhyjP`]yG,Ukrajina,,Kyjev,,,"<img src=""ug-flag-ukraine.svg"" />",,"<img src=""ug-map-ukraine.png"" />","UG::Europe UG::Sovereign_State"			
SV~^iY+T:[,VatikĂˇn,,VatikĂˇn,,,"<img src=""ug-flag-vatican_city.svg"" />",,"<img src=""ug-map-vatican_city.png"" />","UG::Europe UG::Sovereign_State"			
Inra^3^)9D,ArmĂ©nie,,Jerevan,,,"<img src=""ug-flag-armenia.svg"" />",,"<img src=""ug-map-armenia.png"" />","UG::Europe UG::Sovereign_State"			
QVM{N?5a~:,Kypr,,NikĂłsie,,,"<img src=""ug-flag-cyprus.svg"" />",,"<img src=""ug-map-cyprus.png"" />","UG::Asia UG::European_Union UG::Mediterranean UG::Middle_East UG::Sovereign_State"			
OLgLpb1!W{,KazachstĂˇn,,Nur-Sultan,"<div>ZnĂˇmĂ˝ jako Astana do bĹ™ezna 2019.</div><div></div>",,"<img src=""ug-flag-kazakhstan.svg"" />",,"<img src=""ug-map-kazakhstan.png"" />","UG::Asia UG::Sovereign_State"			
Plpgd+mY<c,Egypt,,KĂˇhira,,,"<img src=""ug-flag-egypt.svg"" />","<div>IrĂˇk (text mĂ­sto emblĂ©mu), SĂ˝rie (dvÄ› hvÄ›zdy mĂ­sto emblĂ©mu), Jemen (bez emblĂ©mu)</div><div></div>","<img src=""ug-map-egypt.png"" />","UG::Africa UG::Mediterranean UG::Middle_East UG::Sovereign_State"			
HOK*eYb1JQ,AlĹľĂ­rsko,,AlĹľĂ­r,,,"<img src=""ug-flag-algeria.svg"" />",,"<img src=""ug-map-algeria.png"" />","UG::Africa UG::Mediterranean UG::Sovereign_State"			
UY:.F8}L/C,Angola,,Luanda,,,"<img src=""ug-flag-angola.svg"" />",,"<img src=""ug-map-angola.png"" />","UG::Africa UG::Sovereign_State"			
WgQ)9{pK4^,Benin,,"Porto Novo","<div>ZatĂ­mco Porto Novo je oficĂˇlnĂ­ hlavnĂ­ mÄ›sto, Cotonou je sĂ­dlem vlĂˇdy.</div><div></div>",,"<img src=""ug-flag-benin.svg"" />",,"<img src=""ug-map-benin.png"" />","UG::Africa UG::Sovereign_State UG::West_Africa"			
00T`XL|YsQ,Botswana,,Gaborone,,,"<img src=""ug-flag-botswana.svg"" />",,"<img src=""ug-map-botswana.png"" />","UG::Africa UG::Sovereign_State"			
Tvfm	@?ay<,"Burkina Faso",,Ouagadougou,,,"<img src=""ug-flag-burkina_faso.svg"" />",,"<img src=""ug-map-burkina_faso.png"" />","UG::Africa UG::Sovereign_State UG::West_Africa"		
Pa,>:Kw41?,Kamerun,,YaoundĂ©,,,"<img src=""ug-flag-cameroon.svg"" />","Senegal (zelenĂˇ/ĹľlutĂˇ/ÄŤervenĂˇ, zelenĂˇ hvÄ›zda)","<img src=""ug-map-cameroon.png"" />","UG::Africa UG::Sovereign_State"			
$UW,NxR2i,Burundi,,Gitega,"<div>OficiĂˇlnĂ­ hlavnĂ­ mÄ›sto bylo pĹ™esunuto z Bujumbury zpÄ›t do Gitegy v roce 2019.</div><div></div>",,"<img src=""ug-flag-burundi.svg"" />",,"<img src=""ug-map-burundi.png"" />","UG::Africa UG::East_Africa UG::Sovereign_State"			
M)<Zg.:kKG,Kapverdy,"<div>ZnĂˇmĂ© tĂ©Ĺľ jako Cabo Verde.</div><div></div>",Praia,,,"<img src=""ug-flag-cape_verde.svg"" />",,"<img src=""ug-map-cape_verde.png"" />","UG::Africa UG::Sovereign_State UG::West_Africa"			
MP=%-?2ClV,"SvatĂ˝ TomĂˇĹˇ a PrincĹŻv ostrov",,"SĂŁo TomĂ©",,,"<img src=""ug-flag-sao_tome_and_principe.svg"" />",,"<img src=""ug-map-sao_tome_and_principe.png"" />","UG::Africa UG::Sovereign_State"			
1	T&35r39r,"StĹ™edoafrickĂˇ republika",,Bangui,,,"<img src=""ug-flag-central_african_republic.svg"" />",,"<img src=""ug-map-central_african_republic.png"" />","UG::Africa UG::Sovereign_State"		
xl9jNuS:.,ÄŚad,,N'Djamena,,,"<img src=""ug-flag-chad.svg"" />","<div>Rumunsko (mĂ­rnÄ› svÄ›tlejĹˇĂ­ modrĂˇ)</div>","<img src=""ug-map-chad.png"" />","UG::Africa UG::Sovereign_State"			
M{,ZOAG8vV,"RovnĂ­kovĂˇ Guinea",,Malabo,,,"<img src=""ug-flag-equatorial_guinea.svg"" />",,"<img src=""ug-map-equatorial_guinea.png"" />","UG::Africa UG::Sovereign_State"			
PxPRn#zlCK,KeĹa,,Nairobi,,,"<img src=""ug-flag-kenya.svg"" />",,"<img src=""ug-map-kenya.png"" />","UG::Africa UG::East_Africa UG::Sovereign_State"			
ZGNLdF]8nn,Komory,,Moroni,,,"<img src=""ug-flag-comoros.svg"" />",,"<img src=""ug-map-comoros.png"" />","UG::Africa UG::East_Africa UG::Sovereign_State"			
P	E^~ff/O4,"PobĹ™eĹľĂ­ slonoviny","<div>OficiĂˇlnÄ› CĂ´te d'Ivoire.</div>",Yamoussoukro,"<div>ZatĂ­mco Yamoussoukro je oficiĂˇlnĂ­ hlavnĂ­ mÄ›sto, AbidĹľan je de facto sĂ­dlem vlĂˇdy.</div>",,"<img src=""ug-flag-ivory_coast.svg"" />","<div>Irsko (prohozenĂˇ oranĹľovĂˇ a zelenĂˇ, ĹˇirĹˇĂ­)</div>","<img src=""ug-map-ivory_coast.png"" />","UG::Africa UG::Sovereign_State UG::West_Africa"		
Ub^@7(]J-?,"KonĹľskĂˇ demokratickĂˇ republika","<div>DĹ™Ă­ve znĂˇmĂˇ jako Zair.</div>",Kinshasa,,,"<img src=""ug-flag-democratic_republic_of_the_congo.svg"" />",,"<img src=""ug-map-democratic_republic_of_the_congo.png"" />","UG::Africa UG::Sovereign_State"			
O?w]/&t!HI,DĹľibutsko,,DĹľibuti,,,"<img src=""ug-flag-djibouti.svg"" />",,"<img src=""ug-map-djibouti.png"" />","UG::Africa UG::East_Africa UG::Sovereign_State"			
OE-g#el{@{,Guinea-Bissau,,Bissau,,,"<img src=""ug-flag-guinea-bissau.svg"" />",,"<img src=""ug-map-guinea-bissau.png"" />","UG::Africa UG::Sovereign_State UG::West_Africa"			
V@z&o!QL#t,Eritrea,,Asmara,,,"<img src=""ug-flag-eritrea.svg"" />",,"<img src=""ug-map-eritrea.png"" />","UG::Africa UG::East_Africa UG::Sovereign_State"			
ZISb_q%~e`,Etiopie,,"Addis Abeba",,,"<img src=""ug-flag-ethiopia.svg"" />",,"<img src=""ug-map-ethiopia.png"" />","UG::Africa UG::East_Africa UG::Sovereign_State"			
Vt96	6<~5Z,Gabon,,Libreville,,,"<img src=""ug-flag-gabon.svg"" />",,"<img src=""ug-map-gabon.png"" />","UG::Africa UG::Sovereign_State"		
LjcsIwVX3),Gambie,,Banjul,,,"<img src=""ug-flag-the_gambia.svg"" />",,"<img src=""ug-map-the_gambia.png"" />","UG::Africa UG::Sovereign_State UG::West_Africa"			
U	0#m:v8mI,Lesotho,,Maseru,,,"<img src=""ug-flag-lesotho.svg"" />",,"<img src=""ug-map-lesotho.png"" />","UG::Africa UG::Sovereign_State"		
